id;nombre;telefono;parentesco;observaciones;prioridad;activo;fecha_alta;fecha_baja;persona_id
1;upside-down throbbing;concerning plain;extra-large even;abaft;2;false;2026-04-24;2026-04-24;1
2;um consign masticate;throughout crank;eek subexpression;toward ceramic because;3;true;2026-04-23;2026-04-23;2
3;generally boohoo consequently;at ick reckless;lest aha yuck;yuck gadzooks since;4;false;2026-04-24;2026-04-23;3
4;charm;gadzooks;arrogantly oof forecast;glorious;10;false;2026-04-23;2026-04-24;4
5;fairly quaintly although;fast instructor;including husky ha;probe;10;true;2026-04-24;2026-04-24;5
6;jubilantly till;napkin;disposer drat;nippy;1;true;2026-04-24;2026-04-24;6
7;advertisement furthermore er;neighboring which modulo;questionable trustworthy radiant;dimly;6;false;2026-04-23;2026-04-24;7
8;outset;dredger immediately what;detain mysteriously manipulate;wetly;10;true;2026-04-24;2026-04-24;8
9;whereas mom;or;aha though phony;massage;7;false;2026-04-24;2026-04-23;9
10;upward infinite unlike;mmm;before gee;like;3;true;2026-04-24;2026-04-23;10
11;opposite intent;like;righteously for provided;rarely;9;true;2026-04-24;2026-04-24;11
12;provided;hawk outside squeaky;veg;mob loyally;6;false;2026-04-24;2026-04-24;12
13;however;which cinch beneath;muddy;bravely happily abaft;4;true;2026-04-23;2026-04-24;13
14;geez without furthermore;rust;finally;vainly;2;false;2026-04-24;2026-04-24;14
15;since meh;jiggle;once runny emphasise;duh;9;true;2026-04-24;2026-04-24;15
16;coaxingly crystallize positively;milestone sermon esteemed;after knitting;at;7;true;2026-04-23;2026-04-24;16
17;regularly rejoin;for what;torn scratch recklessly;dream till ha;2;true;2026-04-24;2026-04-24;17
18;where leading;fooey knowingly;astride nocturnal;into whose wombat;2;false;2026-04-24;2026-04-23;18
19;despite quicker;engender;besmirch;cuckoo abaft;8;false;2026-04-24;2026-04-23;19
20;hm ouch;plugin;spear;consequently whether begonia;7;false;2026-04-24;2026-04-24;20
21;lovely keenly;whose hollow;pinstripe duh;onset finally;9;false;2026-04-23;2026-04-24;21
22;programme emboss;gloat bah;aw ick dearest;hopelessly;9;true;2026-04-23;2026-04-23;22
23;mostly;ha mechanically conjecture;descent;oddly;4;true;2026-04-23;2026-04-24;23
24;what via ew;saw cutlet excitedly;carouse;tensely parade quintessential;9;true;2026-04-24;2026-04-23;24
25;cod underneath deck;given;accidentally how;bourgeoisie yellowish;4;false;2026-04-24;2026-04-24;25
26;essential after uselessly;warmly;entwine furthermore ack;opposite millet yuck;3;true;2026-04-24;2026-04-23;26
27;redesign quicker;oxidize oh;unethically before given;regarding cook;6;true;2026-04-23;2026-04-24;27
28;ride where exalt;during;cheerful times;gee prime meanwhile;8;false;2026-04-24;2026-04-24;28
29;throughout save pace;grubby although wisely;after vibraphone;distorted;8;false;2026-04-24;2026-04-24;29
30;tense against;pale ha mmm;nougat long;fooey who;7;true;2026-04-23;2026-04-24;30
