id;matricula;fecha_matriculacion;activo;fecha_alta;fecha_baja;empleado_id
1;characterization righteously tomorrow;2026-04-24;false;2026-04-24;2026-04-24;1
2;bony collaboration;2026-04-24;false;2026-04-24;2026-04-23;2
3;ultimately;2026-04-24;false;2026-04-24;2026-04-23;3
4;bleak along acquire;2026-04-24;false;2026-04-24;2026-04-23;4
5;putrefy as down;2026-04-24;true;2026-04-24;2026-04-24;5
6;jaggedly spring eek;2026-04-23;true;2026-04-24;2026-04-24;6
7;regularly mockingly;2026-04-23;false;2026-04-23;2026-04-23;7
8;commonly ew;2026-04-23;true;2026-04-24;2026-04-24;8
9;hole grouchy;2026-04-24;true;2026-04-23;2026-04-24;9
10;before;2026-04-24;true;2026-04-24;2026-04-24;10
11;dimX;2026-04-24;true;2026-04-24;2026-04-24;11
12;tense;2026-04-24;true;2026-04-24;2026-04-23;12
13;wrong buck whether;2026-04-23;true;2026-04-24;2026-04-24;13
14;suspiciously communicate boohoo;2026-04-24;false;2026-04-24;2026-04-23;14
15;misjudge toward unaccountably;2026-04-23;true;2026-04-24;2026-04-24;15
16;rightfully what habit;2026-04-24;false;2026-04-23;2026-04-24;16
17;awXX;2026-04-24;false;2026-04-23;2026-04-24;17
18;despite whoa extension;2026-04-24;true;2026-04-24;2026-04-24;18
19;uncork huzzah;2026-04-23;true;2026-04-23;2026-04-24;19
20;suitcase custom or;2026-04-24;true;2026-04-23;2026-04-24;20
21;considering cellar past;2026-04-24;true;2026-04-24;2026-04-24;21
22;lavish as;2026-04-24;true;2026-04-23;2026-04-24;22
23;front whenever phew;2026-04-24;true;2026-04-24;2026-04-24;23
24;yippee profuse;2026-04-24;false;2026-04-24;2026-04-24;24
25;yippee;2026-04-24;true;2026-04-23;2026-04-23;25
26;brown where;2026-04-24;true;2026-04-24;2026-04-24;26
27;ouch psst;2026-04-24;true;2026-04-23;2026-04-23;27
28;amount;2026-04-24;false;2026-04-23;2026-04-24;28
29;along versus searchingly;2026-04-24;false;2026-04-24;2026-04-24;29
30;kookily barring clueless;2026-04-23;true;2026-04-24;2026-04-24;30
