id;matricula;fecha_matriculacion;firma_digital;atiende_consultorio;activo;fecha_alta;fecha_baja;empleado_id;especialidad_id
1;given meanwhile;2026-04-23;mature;false;true;2026-04-24;2026-04-23;1;1
2;achieve youthful;2026-04-24;adjourn keenly;false;true;2026-04-24;2026-04-24;2;2
3;huzzah antagonize sonata;2026-04-23;ack qua;false;false;2026-04-23;2026-04-24;3;3
4;partially lest;2026-04-24;minus rival;false;false;2026-04-23;2026-04-23;4;4
5;atop forenenst fake;2026-04-24;concentration certainly hello;false;true;2026-04-24;2026-04-24;5;5
6;when;2026-04-24;restfully uh-huh what;false;false;2026-04-24;2026-04-24;6;6
7;schnitzel;2026-04-24;excepting serve;true;true;2026-04-23;2026-04-24;7;7
8;aside tomb;2026-04-24;sentimental;true;true;2026-04-24;2026-04-24;8;8
9;indeed;2026-04-24;upright against even;false;false;2026-04-23;2026-04-24;9;9
10;oofX;2026-04-24;whose govern;false;false;2026-04-24;2026-04-24;10;10
11;remarkable quart hence;2026-04-24;trained;false;false;2026-04-24;2026-04-23;11;11
12;pinstripe whenever;2026-04-24;instead than outgoing;true;true;2026-04-24;2026-04-24;12;12
13;better proud furthermore;2026-04-24;loftily;false;true;2026-04-24;2026-04-23;13;13
14;minus mid whereas;2026-04-24;after mostly quintessential;false;false;2026-04-24;2026-04-24;14;14
15;acclaimed blah bonnet;2026-04-24;unless;false;false;2026-04-24;2026-04-23;15;15
16;by these;2026-04-24;along blah;true;false;2026-04-24;2026-04-24;16;16
17;twin while meanwhile;2026-04-24;gray unabashedly unless;false;false;2026-04-24;2026-04-24;17;17
18;bravely inside aha;2026-04-24;really implode;false;true;2026-04-23;2026-04-24;18;18
19;inside anti aha;2026-04-24;follower;false;false;2026-04-24;2026-04-24;19;19
20;unto whoa issue;2026-04-23;astride masculinize;false;true;2026-04-24;2026-04-24;20;20
21;minion;2026-04-24;why silt;false;true;2026-04-24;2026-04-23;21;21
22;or whenever mmm;2026-04-24;diligently certainly furiously;false;false;2026-04-24;2026-04-23;22;22
23;whoa;2026-04-24;um sunbathe duh;true;false;2026-04-24;2026-04-24;23;23
24;mmmX;2026-04-24;convection;true;true;2026-04-23;2026-04-24;24;24
25;while inspect absent;2026-04-24;monthly howl;true;false;2026-04-24;2026-04-24;25;25
26;tenement downshift modulo;2026-04-24;scuffle violent;false;true;2026-04-23;2026-04-24;26;26
27;successfully;2026-04-24;hovercraft nor wildly;true;false;2026-04-24;2026-04-24;27;27
28;hmph;2026-04-23;keenly coliseum writ;true;false;2026-04-24;2026-04-24;28;28
29;since symbolise;2026-04-24;charm;true;false;2026-04-24;2026-04-24;29;29
30;upside-down shaft whereas;2026-04-24;but pronoun handle;true;true;2026-04-23;2026-04-24;30;30
